14:45:32;Tu=75.56;Tm=76.94;Td=77.44;Tc=0.00;Tdif=76.94;Tj=0.00;To=0.00;Tj=761.56
14:46:03;Tu=75.56;Tm=76.94;Td=77.44;Tc=0.00;Tdif=76.94;Tj=0.00;To=0.00;Tj=761.56
14:46:33;Tu=75.56;Tm=76.94;Td=77.44;Tc=0.00;Tdif=76.94;Tj=0.00;To=0.00;Tj=761.57
14:47:03;Tu=75.56;Tm=76.94;Td=77.44;Tc=0.00;Tdif=76.94;Tj=0.00;To=0.00;Tj=761.57
14:47:32;Tu=75.63;Tm=76.94;Td=77.44;Tc=0.00;Tdif=76.94;Tj=0.00;To=0.00;Tj=761.55
14:48:02;Tu=75.63;Tm=76.94;Td=77.44;Tc=0.00;Tdif=76.94;Tj=0.00;To=0.00;Tj=761.52
14:48:33;Tu=75.63;Tm=76.94;Td=77.38;Tc=0.00;Tdif=76.94;Tj=0.00;To=0.00;Tj=761.52
14:49:03;Tu=75.63;Tm=76.94;Td=77.38;Tc=0.00;Tdif=76.94;Tj=0.00;To=0.00;Tj=761.51
14:49:33;Tu=75.63;Tm=76.94;Td=77.38;Tc=0.00;Tdif=76.94;Tj=0.00;To=0.00;Tj=761.51
14:50:02;Tu=75.56;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.51
14:50:32;Tu=75.56;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.51
14:51:03;Tu=75.56;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.50
14:51:32;Tu=75.56;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.51
14:52:03;Tu=75.56;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.51
14:52:33;Tu=75.56;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.52
14:53:03;Tu=75.63;Tm=76.94;Td=77.38;Tc=0.00;Tdif=76.94;Tj=0.00;To=0.00;Tj=761.53
14:53:33;Tu=75.63;Tm=76.94;Td=77.38;Tc=0.00;Tdif=76.94;Tj=0.00;To=0.00;Tj=761.54
14:54:04;Tu=75.63;Tm=76.94;Td=77.38;Tc=0.00;Tdif=76.94;Tj=0.00;To=0.00;Tj=761.54
14:54:34;Tu=75.63;Tm=76.94;Td=77.44;Tc=0.00;Tdif=76.94;Tj=0.00;To=0.00;Tj=761.54
14:55:04;Tu=75.63;Tm=76.94;Td=77.38;Tc=0.00;Tdif=76.94;Tj=0.00;To=0.00;Tj=761.54
14:55:34;Tu=75.63;Tm=76.94;Td=77.38;Tc=0.00;Tdif=76.94;Tj=0.00;To=0.00;Tj=761.55
14:56:04;Tu=75.63;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.56
14:56:33;Tu=75.56;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.56
